player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,Name,Position,Source,ERA,xERA,era_minus_xera_diff
670623,2024,641,443,0.238,0.221,0.0169999999999999,0.393,0.35,0.043,0.327,0.309,0.018,Isaac Paredes,BAT,BBSavant_2024,,,
553993,2024,640,406,0.256,0.246,0.01,0.469,0.463,0.0059999999999999,0.337,0.335,0.002,Eugenio Suárez,BAT,BBSavant_2024,,,
668939,2024,638,475,0.25,0.254,-0.004,0.391,0.405,-0.014,0.309,0.32,-0.011,Adley Rutschman,BAT,BBSavant_2024,,,
518692,2024,638,450,0.282,0.272,0.0099999999999999,0.476,0.475,0.001,0.365,0.369,-0.004,Freddie Freeman,BAT,BBSavant_2024,,,
663697,2024,637,417,0.248,0.262,-0.014,0.392,0.418,-0.0259999999999999,0.333,0.354,-0.0209999999999999,Jonathan India,BAT,BBSavant_2024,,,
666969,2024,637,409,0.224,0.223,0.001,0.4,0.422,-0.0219999999999999,0.296,0.309,-0.013,Adolis García,BAT,BBSavant_2024,,,
691026,2024,637,486,0.267,0.253,0.014,0.416,0.363,0.0529999999999999,0.315,0.296,0.019,Masyn Winn,BAT,BBSavant_2024,,,
650489,2024,635,413,0.247,0.242,0.005,0.385,0.39,-0.005,0.317,0.323,-0.006,Willi Castro,BAT,BBSavant_2024,,,
571448,2024,635,493,0.272,0.253,0.019,0.394,0.361,0.033,0.314,0.299,0.015,Nolan Arenado,BAT,BBSavant_2024,,,
670541,2024,635,461,0.308,0.299,0.009,0.567,0.607,-0.04,0.402,0.415,-0.0129999999999999,Yordan Alvarez,BAT,BBSavant_2024,,,
608324,2024,634,499,0.26,0.255,0.005,0.453,0.434,0.019,0.331,0.325,0.006,Alex Bregman,BAT,BBSavant_2024,,,
647304,2024,633,462,0.243,0.254,-0.011,0.456,0.451,0.005,0.332,0.338,-0.006,Josh Naylor,BAT,BBSavant_2024,,,
665926,2024,633,495,0.252,0.261,-0.009,0.34,0.362,-0.0219999999999999,0.281,0.301,-0.0199999999999999,Andrés Giménez,BAT,BBSavant_2024,,,
547180,2024,631,415,0.285,0.264,0.0209999999999999,0.525,0.486,0.039,0.38,0.361,0.019,Bryce Harper,BAT,BBSavant_2024,,,
663728,2024,628,376,0.22,0.229,-0.009,0.436,0.483,-0.0469999999999999,0.323,0.347,-0.0239999999999999,Cal Raleigh,BAT,BBSavant_2024,,,
672580,2024,626,481,0.231,0.259,-0.0279999999999999,0.332,0.373,-0.0409999999999999,0.27,0.305,-0.0349999999999999,Maikel Garcia,BAT,BBSavant_2024,,,
650559,2024,622,419,0.233,0.241,-0.0079999999999999,0.384,0.431,-0.0469999999999999,0.283,0.306,-0.023,Bryan De La Cruz,BAT,BBSavant_2024,,,
665862,2024,621,412,0.256,0.237,0.019,0.436,0.419,0.017,0.327,0.317,0.01,Jazz Chisholm Jr.,BAT,BBSavant_2024,,,
650490,2024,621,472,0.281,0.273,0.008,0.414,0.432,-0.018,0.331,0.339,-0.008,Yandy Díaz,BAT,BBSavant_2024,,,
657077,2024,621,478,0.233,0.247,-0.0139999999999999,0.356,0.383,-0.027,0.283,0.306,-0.023,Alex Verdugo,BAT,BBSavant_2024,,,
673237,2024,619,486,0.299,0.296,0.003,0.441,0.467,-0.026,0.329,0.343,-0.014,Yainer Diaz,BAT,BBSavant_2024,,,
668930,2024,619,462,0.254,0.261,-0.007,0.349,0.346,0.003,0.294,0.302,-0.008,Brice Turang,BAT,BBSavant_2024,,,
683734,2024,619,443,0.246,0.24,0.006,0.402,0.442,-0.0399999999999999,0.304,0.32,-0.016,Andrew Vaughn,BAT,BBSavant_2024,,,
667670,2024,614,373,0.293,0.263,0.0299999999999999,0.562,0.566,-0.0039999999999998,0.392,0.381,0.011,Brent Rooker,BAT,BBSavant_2024,,,
543807,2024,614,432,0.22,0.24,-0.0199999999999999,0.371,0.412,-0.0409999999999999,0.298,0.325,-0.027,George Springer,BAT,BBSavant_2024,,,
677594,2024,613,413,0.273,0.274,-0.001,0.409,0.472,-0.063,0.321,0.348,-0.0269999999999999,Julio Rodríguez,BAT,BBSavant_2024,,,
666624,2024,611,381,0.196,0.222,-0.0259999999999999,0.346,0.401,-0.055,0.28,0.316,-0.0359999999999999,Christopher Morel,BAT,BBSavant_2024,,,
694384,2024,607,426,0.25,0.253,-0.003,0.362,0.361,0.001,0.315,0.322,-0.007,Nolan Schanuel,BAT,BBSavant_2024,,,
664761,2024,606,474,0.28,0.283,-0.0029999999999999,0.448,0.452,-0.004,0.335,0.345,-0.0099999999999999,Alec Bohm,BAT,BBSavant_2024,,,
605137,2024,603,421,0.249,0.233,0.0159999999999999,0.405,0.402,0.003,0.317,0.312,0.005,Josh Bell,BAT,BBSavant_2024,,,
686668,2024,603,401,0.26,0.249,0.011,0.446,0.442,0.004,0.328,0.33,-0.002,Brenton Doyle,BAT,BBSavant_2024,,,
682928,2024,602,418,0.246,0.243,0.003,0.433,0.413,0.02,0.322,0.32,0.002,CJ Abrams,BAT,BBSavant_2024,,,
606115,2024,602,431,0.218,0.204,0.014,0.354,0.332,0.0219999999999999,0.273,0.266,0.007,Orlando Arcia,BAT,BBSavant_2024,,,
687263,2024,602,407,0.249,0.233,0.0159999999999999,0.443,0.421,0.022,0.33,0.319,0.011,Zach Neto,BAT,BBSavant_2024,,,
646240,2024,601,384,0.272,0.267,0.005,0.516,0.514,0.002,0.364,0.366,-0.002,Rafael Devers,BAT,BBSavant_2024,,,
665833,2024,599,364,0.259,0.259,0.0,0.449,0.475,-0.0259999999999999,0.331,0.344,-0.0129999999999999,Oneil Cruz,BAT,BBSavant_2024,,,
676475,2024,595,478,0.269,0.27,-0.001,0.42,0.444,-0.024,0.319,0.333,-0.014,Alec Burleson,BAT,BBSavant_2024,,,
467793,2024,594,424,0.238,0.244,-0.006,0.42,0.424,-0.004,0.326,0.333,-0.007,Carlos Santana,BAT,BBSavant_2024,,,
621020,2024,593,393,0.242,0.241,0.001,0.39,0.423,-0.0329999999999999,0.307,0.324,-0.017,Dansby Swanson,BAT,BBSavant_2024,,,
701538,2024,593,462,0.292,0.3,-0.008,0.5,0.547,-0.047,0.352,0.375,-0.023,Jackson Merrill,BAT,BBSavant_2024,,,
